%Time	 Word0	 Word1	 Word2	 Word3	 Word4	 Word5	 Word6	 Word7	 Word8	 Word9	 Word10	 Word11	 Word12	 Word13	 Word14	 Word15	 Word16	 Word17
0.02	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	26720	13456	26856	5000	20
0.04	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	27368	13456	26856	5000	20
0.06	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	28016	13456	26856	5000	20
0.08	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	28664	13456	26856	5000	20
0.1	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	29304	13456	26856	5000	20
0.12	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	29952	13456	26856	5000	20
0.14	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	30600	13456	26856	5000	20
0.16	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	31248	13456	26856	5000	20
0.18	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	31896	13456	26856	5000	20
0.2	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	32544	13456	26856	5000	20
0.22	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	33184	13456	26856	5000	20
0.24	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	33832	13456	26856	5000	20
0.26	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	34480	13456	26856	5000	20
0.28	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	35128	13456	26856	5000	20
0.3	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	35776	13456	26856	5000	20
0.32	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	36424	13456	26856	5000	20
0.34	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	37064	13456	26856	5000	20
0.36	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	37712	13456	26856	5000	20
0.38	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	38360	13456	26856	5000	20
0.4	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	39008	13456	26856	5000	20
0.42	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	39656	13456	26856	5000	20
0.44	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	40304	13456	26856	5000	20
0.46	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	40944	13456	26856	5000	20
0.48	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	41592	13456	26856	5000	20
0.5	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	42240	13456	26856	5000	20
0.52	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	42888	13456	26856	5000	20
0.54	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	43536	13456	26856	5000	20
0.56	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	44184	13456	26856	5000	20
0.58	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	44824	13456	26856	5000	20
0.6	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	45472	13456	26856	5000	20
0.62	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	46120	13456	26856	5000	20
0.64	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	46768	13456	26856	5000	20
0.66	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	47416	13456	26856	5000	20
0.68	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	48064	13456	26856	5000	20
0.7	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	48712	13456	26856	5000	20
0.72	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	49352	13456	26856	5000	20
0.74	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	50000	13456	26856	5000	20
0.76	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	50648	13456	26856	5000	20
0.78	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	51296	13456	26856	5000	20
0.8	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	51944	13456	26856	5000	20
0.82	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	52592	13456	26856	5000	20
0.84	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	53232	13456	26856	5000	20
0.86	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	53880	13456	26856	5000	20
0.88	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	54528	13456	26856	5000	20
0.9	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	55176	13456	26856	5000	20
0.92	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	55824	13456	26856	5000	20
0.94	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	56472	13456	26856	5000	20
0.96	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	57112	13456	26856	5000	20
0.98	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	57760	13456	26856	5000	20
1	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	58408	13456	26856	5000	20
1.02	0	18112	65024	0	0	0	0	5	53248	0	0	0	3383	59056	13456	26856	5000	20
